Date,Open,High,Low,Close,Volume,Adj Close
2009-04-14,119.57,120.17,117.25,118.31,113655500,16.07
2009-04-15,117.2,118.25,115.76,117.64,103220600,15.98
2009-04-16,119.19,123.15,118.79,121.45,148361500,16.5
2009-04-17,121.18,124.25,120.25,123.42,124373900,16.77
2009-04-20,121.73,122.99,119.16,120.5,116616500,16.37
2009-04-21,118.89,122.14,118.6,121.76,117671400,16.54
2009-04-22,122.63,125.35,121.2,121.51,234691800,16.51
2009-04-23,126.62,127.2,123.51,125.4,236289200,17.04
2009-04-24,124.64,125.14,122.97,123.9,135191000,16.83
2009-04-27,122.9,125.0,122.66,124.73,120172500,16.95
2009-04-28,123.35,126.21,123.26,123.9,113964200,16.83
2009-04-29,124.85,126.85,123.83,125.14,114527700,17.0
2009-04-30,126.22,127.0,124.92,125.83,124622400,17.1
2009-05-01,125.8,127.95,125.8,127.24,99379000,17.29
2009-05-04,128.24,132.25,127.68,132.07,152339600,17.94
2009-05-05,131.75,132.86,131.12,132.71,99563800,18.03
2009-05-06,133.33,133.5,130.22,132.5,118384700,18.0
2009-05-07,132.33,132.39,127.9,129.06,132944000,17.54
2009-05-08,129.04,131.23,126.26,129.19,116991000,17.55
2009-05-11,127.37,130.96,127.12,129.57,101164700,17.6
2009-05-12,129.56,129.71,123.25,124.42,152370400,16.9
2009-05-13,123.21,124.02,119.38,119.49,148992900,16.24
2009-05-14,119.78,123.53,119.7,122.95,111956600,16.71
2009-05-15,122.32,124.62,121.61,122.42,91891800,16.63
2009-05-18,123.73,126.7,121.57,126.65,114710400,17.21
2009-05-19,126.82,129.31,125.74,127.45,93105600,17.32
2009-05-20,127.63,129.21,125.3,125.87,97146000,17.1
2009-05-21,125.15,126.78,122.89,124.18,101986500,16.87
2009-05-22,124.05,124.18,121.75,122.5,74499600,16.64
2009-05-26,124.76,130.83,124.55,130.78,159231800,17.77
2009-05-27,131.78,134.98,130.91,133.05,161605500,18.08
2009-05-28,133.45,135.39,132.03,135.07,121888200,18.35
2009-05-29,135.39,135.9,133.85,135.81,114133600,18.45
2009-06-01,136.47,139.99,136.0,139.35,113124900,18.93
2009-06-02,138.99,141.34,138.35,139.49,114055900,18.95
2009-06-03,140.0,141.11,139.07,140.95,141299900,19.15
2009-06-04,140.13,144.18,140.04,143.74,137658500,19.53
2009-06-05,145.31,146.4,143.21,144.67,158179000,19.66
2009-06-08,143.82,144.23,139.43,143.85,232913100,19.54
2009-06-09,143.81,144.56,140.55,142.72,169241100,19.39
2009-06-10,142.28,142.35,138.3,140.25,172155900,19.06
2009-06-11,139.55,141.56,138.55,139.95,131205900,19.01
2009-06-12,138.81,139.1,136.04,136.97,140771400,18.61
2009-06-15,136.01,136.93,134.89,136.09,134937600,18.49
2009-06-16,136.66,138.47,136.1,136.35,128701300,18.53
2009-06-17,136.67,137.45,134.53,135.58,142853200,18.42
2009-06-18,136.11,138.0,135.59,135.88,106920100,18.46
2009-06-19,138.07,139.5,136.9,139.48,180464200,18.95
2009-06-22,140.67,141.56,136.33,137.37,158728500,18.66
2009-06-23,136.4,136.95,132.88,134.01,176633100,18.21
2009-06-24,135.42,137.5,134.86,136.22,121381400,18.51
2009-06-25,135.75,140.2,135.21,139.86,147361900,19.0
2009-06-26,139.79,143.56,139.74,142.44,109846100,19.35
2009-06-29,143.46,143.95,141.54,141.97,141904000,19.29
2009-06-30,142.58,143.8,141.8,142.43,108556000,19.35
2009-07-01,143.5,144.66,142.52,142.83,103544700,19.41
2009-07-02,141.25,142.83,139.79,140.02,92619800,19.02
2009-07-06,138.7,138.99,136.25,138.61,124672100,18.83
2009-07-07,138.48,139.68,135.18,135.4,115399200,18.4
2009-07-08,135.92,138.04,134.42,137.22,143982300,18.64
2009-07-09,137.76,137.99,135.93,136.36,85756300,18.53
2009-07-10,136.34,138.97,136.32,138.52,111318900,18.82
2009-07-13,139.54,142.34,137.53,142.34,120875300,19.34
2009-07-14,142.03,143.18,141.16,142.27,86811900,19.33
2009-07-15,145.04,147.0,144.32,146.88,121396800,19.96
2009-07-16,145.76,148.02,145.57,147.52,98392700,20.04
2009-07-17,149.08,152.02,148.63,151.75,150538500,20.62
2009-07-20,153.27,155.04,150.89,152.91,183881600,20.78
2009-07-21,153.29,153.43,149.75,151.51,218695400,20.59
2009-07-22,157.79,158.73,156.11,156.74,218526000,21.3
2009-07-23,156.63,158.44,155.56,157.82,131740700,21.44
2009-07-24,156.95,160.0,156.5,159.99,109590600,21.74
2009-07-27,160.17,160.88,157.26,160.1,108327800,21.75
2009-07-28,158.88,160.1,157.6,160.0,90888700,21.74
2009-07-29,158.9,160.45,158.25,160.03,95539500,21.74
2009-07-30,161.7,164.72,161.5,162.79,117401200,22.12
2009-07-31,162.99,165.0,162.91,163.39,105634200,22.2
2009-08-03,165.21,166.64,164.87,166.43,98560000,22.61
2009-08-04,164.93,165.57,164.21,165.55,98952700,22.49
2009-08-05,165.75,167.39,164.21,165.11,105795900,22.43
2009-08-06,165.58,166.51,163.09,163.91,85404200,22.27
2009-08-07,165.49,166.6,164.8,165.51,96838700,22.49
2009-08-10,165.66,166.6,163.66,164.72,75073600,22.38
2009-08-11,163.69,164.38,161.88,162.83,88835600,22.12
2009-08-12,162.55,166.71,162.46,165.31,111267800,22.46
2009-08-13,166.65,168.67,166.5,168.42,109995200,22.88
2009-08-14,167.94,168.23,165.53,166.78,76454000,22.66
2009-08-17,163.55,163.59,159.42,159.59,131095300,21.68
2009-08-18,161.63,164.24,161.41,164.0,107788100,22.28
2009-08-19,162.75,165.3,162.45,164.6,103317900,22.36
2009-08-20,164.98,166.72,164.61,166.33,85507800,22.6
2009-08-21,167.65,169.37,166.8,169.22,104018600,22.99
2009-08-24,170.12,170.71,168.27,169.06,101732400,22.97
2009-08-25,169.46,170.94,169.13,169.4,81088700,23.02
2009-08-26,168.92,169.55,166.76,167.41,75999700,22.75
2009-08-27,168.75,169.57,164.83,169.45,112295400,23.02
2009-08-28,172.27,172.49,168.53,170.05,113425200,23.1
2009-08-31,168.16,168.85,166.5,168.21,77834400,22.85
2009-09-01,167.99,170.0,164.94,165.3,117257000,22.46
2009-09-02,164.62,167.61,164.11,165.18,91062300,22.44
2009-09-03,166.44,167.1,165.0,166.55,73488800,22.63
2009-09-04,167.28,170.7,167.09,170.31,93657200,23.14
2009-09-08,172.98,173.14,172.0,172.93,78761900,23.5
2009-09-09,172.78,174.47,169.7,171.14,202771800,23.25
2009-09-10,172.06,173.25,170.81,172.56,122783500,23.45
2009-09-11,172.91,173.18,170.87,172.16,87240300,23.39
2009-09-14,170.83,173.9,170.25,173.72,80502800,23.6
2009-09-15,174.04,175.65,173.59,175.16,106617700,23.8
2009-09-16,177.99,182.75,177.88,181.87,188505800,24.71
2009-09-17,181.98,186.79,181.97,184.55,202643000,25.07
2009-09-18,185.83,186.55,184.76,185.02,150395700,25.14
2009-09-21,184.29,185.16,181.62,184.02,109428900,25.0
2009-09-22,185.19,185.38,182.85,184.48,89188400,25.07
2009-09-23,185.4,188.9,185.03,185.5,148390900,25.2
2009-09-24,187.2,187.7,182.77,183.82,137720100,24.98
2009-09-25,182.01,185.5,181.44,182.37,111309800,24.78
2009-09-28,183.87,186.68,183.33,186.15,84361200,25.29
2009-09-29,186.73,187.4,184.31,185.38,86346400,25.19
2009-09-30,186.13,186.45,182.61,185.35,134896300,25.18
2009-10-01,185.35,186.22,180.7,180.86,131177900,24.57
2009-10-02,181.41,185.94,181.35,184.9,138327000,25.12
2009-10-05,186.2,186.86,184.27,186.02,105783300,25.27
2009-10-06,187.74,190.01,187.3,190.01,151271400,25.82
2009-10-07,189.76,190.55,189.03,190.25,116417000,25.85
2009-10-08,190.66,191.45,188.89,189.27,109552800,25.72
2009-10-09,188.97,190.7,188.62,190.47,73318000,25.88
2009-10-12,191.02,191.51,189.64,190.81,72006200,25.93
2009-10-13,190.63,191.17,189.7,190.02,87005100,25.82
2009-10-14,192.25,192.32,190.23,191.29,93877700,25.99
2009-10-15,189.63,190.92,189.53,190.56,93389100,25.89
2009-10-16,189.35,190.36,187.84,188.05,107856700,25.55
2009-10-19,187.85,190.0,185.55,189.86,235557700,25.8
2009-10-20,200.6,201.75,197.85,198.76,285259800,27.01
2009-10-21,199.52,208.71,199.23,204.92,298431700,27.84
2009-10-22,204.7,207.85,202.51,205.2,197848000,27.88
2009-10-23,205.7,205.8,203.23,203.94,105196700,27.71
2009-10-26,203.67,206.75,200.1,202.48,121084600,27.51
2009-10-27,201.66,202.81,196.45,197.37,189137900,26.82
2009-10-28,197.71,198.02,191.1,192.4,204596700,26.14
2009-10-29,195.0,196.81,192.14,196.35,142567600,26.68
2009-10-30,196.06,196.8,188.17,188.5,179381300,25.61
2009-11-02,189.8,192.88,185.57,189.31,169745800,25.72
2009-11-03,187.85,189.52,185.92,188.75,130635400,25.65
